class,number,name,rarity
0,1,Pineco,Common
1,2,Forretress ex,Double Rare
2,3,Maractus,Common
3,4,Toedscool,Common
4,5,Toedscruel ex,Double Rare
5,6,Espathra ex,Double Rare
6,7,Charmander,Common
7,8,Charmeleon,Uncommon
8,9,Magmar,Common
9,10,Magmortar,Rare
10,11,Numel,Common
11,12,Camerupt,Uncommon
12,13,Heat Rotom,Rare
13,14,Charcadet,Common
14,15,Armarouge,Rare
15,16,Lapras,Common
16,17,Frigibax,Common
17,18,Pikachu,Common
18,19,Raichu,Rare
19,20,Chinchou,Common
20,21,Lanturn,Uncommon
21,22,Kilowattrel,Uncommon
22,23,Exeggcute,Common
23,24,Exeggutor,Rare
24,25,Natu,Common
25,26,Xatu,Rare
26,27,Ralts,Common
27,28,Kirlia,Uncommon
28,29,Gardevoir ex,Double Rare
29,30,Chimecho,Common
30,31,Mime Jr.,Common
31,32,Woobat,Common
32,33,Swoobat,Uncommon
33,34,Cottonee,Common
34,35,Whimsicott,Uncommon
35,36,Dedenne,Common
36,37,Mimikyu,Rare
37,38,Fidough,Common
38,39,Dachsbun,Uncommon
39,40,Ceruledge,Rare
40,41,Flittle,Common
41,42,Greavard,Common
42,43,Houndstone,Rare
43,44,Gimmighoul,Common
44,45,Mankey,Common
45,46,Primeape,Uncommon
46,47,Annihilape,Rare
47,48,Phanpy,Common
48,49,Donphan,Uncommon
49,50,Barboach,Common
50,51,Clobbopus,Common
51,52,Grapploct,Uncommon
52,53,Great Tusk ex,Double Rare
53,54,Charizard ex,Double Rare
54,55,Gastly,Common
55,56,Haunter,Common
56,57,Gengar,Uncommon
57,58,Paldean Wooper,Common
58,59,Paldean Clodsire ex,Double Rare
59,60,Scraggy,Common
60,61,Scrafty,Uncommon
61,62,Maschiff,Common
62,63,Mabosstiff,Rare
63,64,Varoom,Common
64,65,Revavroom,Rare
65,66,Iron Treads ex,Double Rare
66,67,Gholdengo,Rare
67,68,Noibat,Common
68,69,Noivern ex,Double Rare
69,70,Cyclizar,Rare
70,71,Lechonk,Common
71,72,Oinkologne,Uncommon
72,73,Tandemaus,Common
73,74,Maushold,Uncommon
74,75,Squawkabilly ex,Double Rare
75,76,Artazon,Uncommon
76,77,Atticus,Uncommon
77,78,Clive,Uncommon
78,79,Electric Generator,Uncommon
